                  epoch,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/cls_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    135,                 6.0925,                 0.3824,                0.40974,                0.32584,                0.08718,                 4.0125,             5.5338e-05,             5.5338e-05,             5.5338e-05
                    136,                 6.0905,                0.38274,                 0.4084,                0.32472,                0.08546,                 4.0134,             5.5005e-05,             5.5005e-05,             5.5005e-05
                    137,                 6.0805,                0.37744,                0.41584,                0.32286,                0.08594,                 4.0138,             5.4671e-05,             5.4671e-05,             5.4671e-05
                    138,                 6.0952,                0.37502,                0.41385,                0.31991,                0.08513,                  4.007,             5.4338e-05,             5.4338e-05,             5.4338e-05
                    139,                 6.0908,                0.37213,                0.40977,                0.31698,                0.08471,                 4.0203,             5.4005e-05,             5.4005e-05,             5.4005e-05
                    140,                 6.0851,                0.37175,                0.41784,                0.31605,                0.08377,                 4.0084,             5.3671e-05,             5.3671e-05,             5.3671e-05
                    141,                 6.1019,                 0.3627,                0.40494,                 0.3205,                0.08486,                 4.0144,             5.3338e-05,             5.3338e-05,             5.3338e-05
                    142,                 6.0778,                0.37364,                0.41064,                0.31416,                0.08385,                 4.0081,             5.3005e-05,             5.3005e-05,             5.3005e-05
                    143,                  6.071,                0.37451,                0.41191,                0.32157,                0.08659,                 3.9977,             5.2671e-05,             5.2671e-05,             5.2671e-05
                    144,                 6.0716,                0.37634,                0.41114,                0.32058,                 0.0864,                 4.0082,             5.2338e-05,             5.2338e-05,             5.2338e-05
                    145,                 6.0663,                0.37619,                0.40817,                0.33065,                0.08789,                 4.0028,             5.2005e-05,             5.2005e-05,             5.2005e-05
                    146,                 6.0594,                0.36924,                0.41348,                0.32402,                0.08661,                 3.9898,             5.1671e-05,             5.1671e-05,             5.1671e-05
                    147,                 6.0528,                 0.3648,                0.42627,                0.32409,                  0.086,                 3.9913,             5.1338e-05,             5.1338e-05,             5.1338e-05
                    148,                 6.0668,                0.36741,                 0.4278,                0.32273,                0.08572,                 3.9994,             5.1005e-05,             5.1005e-05,             5.1005e-05
                    149,                  6.049,                0.37568,                0.40765,                0.32632,                0.08662,                 3.9863,             5.0672e-05,             5.0672e-05,             5.0672e-05
                    150,                 6.0451,                0.37327,                0.41139,                0.32217,                0.08543,                 3.9871,             5.0338e-05,             5.0338e-05,             5.0338e-05
                    151,                 6.0712,                0.38117,                 0.4139,                0.33061,                0.08735,                      4,             5.0005e-05,             5.0005e-05,             5.0005e-05
                    152,                 6.0493,                0.37925,                0.41052,                 0.3249,                0.08652,                 4.0067,             4.9672e-05,             4.9672e-05,             4.9672e-05
                    153,                 6.0188,                0.36588,                0.41113,                0.32125,                0.08638,                 3.9816,             4.9338e-05,             4.9338e-05,             4.9338e-05
                    154,                  6.042,                0.37411,                0.41822,                0.32532,                 0.0867,                 3.9835,             4.9005e-05,             4.9005e-05,             4.9005e-05
                    155,                 6.0322,                 0.3772,                0.40895,                0.32291,                0.08672,                 3.9835,             4.8672e-05,             4.8672e-05,             4.8672e-05
                    156,                  6.038,                0.38073,                0.40109,                0.32272,                 0.0861,                 3.9847,             4.8338e-05,             4.8338e-05,             4.8338e-05
                    157,                 6.0308,                0.36723,                0.41362,                0.32284,                0.08633,                  3.982,             4.8005e-05,             4.8005e-05,             4.8005e-05
                    158,                 6.0358,                0.36989,                0.42102,                0.32648,                0.08633,                 3.9724,             4.7672e-05,             4.7672e-05,             4.7672e-05
                    159,                 6.0203,                0.37067,                0.41136,                0.32756,                0.08722,                 3.9867,             4.7339e-05,             4.7339e-05,             4.7339e-05
                    160,                 6.0186,                0.37498,                0.42231,                 0.3301,                0.08773,                 3.9758,             4.7005e-05,             4.7005e-05,             4.7005e-05
                    161,                 6.0257,                0.38658,                0.40704,                0.33388,                0.08808,                 3.9785,             4.6672e-05,             4.6672e-05,             4.6672e-05
                    162,                  6.024,                0.38014,                0.41311,                0.32594,                0.08687,                 3.9707,             4.6339e-05,             4.6339e-05,             4.6339e-05
                    163,                 6.0369,                0.36542,                0.42193,                0.32778,                0.08826,                 3.9712,             4.6005e-05,             4.6005e-05,             4.6005e-05
                    164,                 6.0243,                0.37483,                0.41583,                0.33099,                0.08797,                 3.9623,             4.5672e-05,             4.5672e-05,             4.5672e-05
                    165,                  5.998,                0.37786,                0.41945,                0.33029,                0.08786,                 3.9673,             4.5339e-05,             4.5339e-05,             4.5339e-05
                    166,                 6.0005,                0.38216,                0.41177,                0.33061,                0.08823,                 3.9678,             4.5005e-05,             4.5005e-05,             4.5005e-05
                    167,                 6.0103,                0.37662,                0.41982,                0.32958,                0.08752,                 3.9638,             4.4672e-05,             4.4672e-05,             4.4672e-05
                    168,                 6.0007,                0.37762,                0.41983,                0.33076,                 0.0874,                 3.9644,             4.4339e-05,             4.4339e-05,             4.4339e-05
                    169,                 5.9928,                0.37671,                0.41909,                0.33546,                0.08898,                 3.9533,             4.4006e-05,             4.4006e-05,             4.4006e-05
                    170,                   5.97,                  0.381,                0.42689,                0.33292,                0.08811,                 3.9565,             4.3672e-05,             4.3672e-05,             4.3672e-05
                    171,                 5.9793,                0.37972,                0.41784,                0.33173,                0.08833,                 3.9507,             4.3339e-05,             4.3339e-05,             4.3339e-05
                    172,                 6.0018,                0.39097,                 0.4058,                0.33308,                0.08801,                 3.9638,             4.3006e-05,             4.3006e-05,             4.3006e-05
                    173,                 5.9969,                 0.3914,                0.40855,                0.33039,                0.08823,                  3.961,             4.2672e-05,             4.2672e-05,             4.2672e-05
                    174,                 5.9851,                 0.3875,                0.40866,                0.33042,                0.08785,                  3.963,             4.2339e-05,             4.2339e-05,             4.2339e-05
                    175,                 5.9888,                0.37506,                0.41674,                0.32842,                0.08738,                 3.9484,             4.2006e-05,             4.2006e-05,             4.2006e-05
                    176,                 5.9878,                 0.3768,                0.40784,                0.32354,                0.08738,                 3.9586,             4.1672e-05,             4.1672e-05,             4.1672e-05
                    177,                 5.9909,                0.38898,                0.41694,                 0.3358,                   0.09,                 3.9542,             4.1339e-05,             4.1339e-05,             4.1339e-05
                    178,                 5.9829,                0.39691,                0.41211,                0.33811,                0.09085,                 3.9515,             4.1006e-05,             4.1006e-05,             4.1006e-05
                    179,                 5.9845,                0.38031,                0.41561,                0.33796,                 0.0897,                 3.9353,             4.0673e-05,             4.0673e-05,             4.0673e-05
                    180,                 5.9858,                0.38626,                0.40729,                 0.3306,                0.08948,                 3.9474,             4.0339e-05,             4.0339e-05,             4.0339e-05
                    181,                 5.9641,                0.39101,                0.40916,                0.33856,                 0.0903,                 3.9496,             4.0006e-05,             4.0006e-05,             4.0006e-05
                    182,                 5.9905,                 0.3727,                 0.4151,                0.33452,                0.08901,                 3.9491,             3.9673e-05,             3.9673e-05,             3.9673e-05
                    183,                 5.9581,                 0.3821,                0.40707,                0.32981,                0.08842,                 3.9503,             3.9339e-05,             3.9339e-05,             3.9339e-05
                    184,                 5.9732,                 0.3931,                0.39747,                0.32908,                 0.0885,                 3.9321,             3.9006e-05,             3.9006e-05,             3.9006e-05
                    185,                 5.9598,                0.37956,                0.41641,                0.33553,                 0.0901,                 3.9331,             3.8673e-05,             3.8673e-05,             3.8673e-05
                    186,                 5.9662,                0.39236,                0.41752,                0.33445,                0.08896,                 3.9422,              3.834e-05,              3.834e-05,              3.834e-05
