                  epoch,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/cls_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    104,                 1.4898,                0.96709,                0.95611,                 0.9877,                0.76112,                0.68445,             2.8479e-05,             2.8479e-05,             2.8479e-05
                    105,                 1.4248,                0.96708,                0.96236,                0.98727,                0.76055,                0.68342,             2.7785e-05,             2.7785e-05,             2.7785e-05
                    106,                 1.4383,                0.96592,                0.95486,                0.98677,                0.75978,                0.68592,             2.7091e-05,             2.7091e-05,             2.7091e-05
                    107,                 1.4525,                0.96915,                0.95701,                0.98753,                 0.7591,                0.68571,             2.6396e-05,             2.6396e-05,             2.6396e-05
                    108,                   1.45,                0.96749,                0.95633,                 0.9877,                0.75961,                0.68372,             2.5702e-05,             2.5702e-05,             2.5702e-05
                    109,                  1.415,                0.96402,                0.96147,                0.98779,                0.75869,                0.68505,             2.5008e-05,             2.5008e-05,             2.5008e-05
                    110,                 1.4491,                0.96653,                0.96385,                0.98794,                0.76051,                0.67949,             2.4313e-05,             2.4313e-05,             2.4313e-05
                    111,                 1.4072,                0.96954,                0.96077,                0.98766,                0.76054,                0.68133,             2.3619e-05,             2.3619e-05,             2.3619e-05
                    112,                 1.4333,                0.96763,                0.96126,                0.98781,                0.75904,                0.68667,             2.2924e-05,             2.2924e-05,             2.2924e-05
                    113,                 1.4436,                0.96293,                0.96316,                0.98774,                0.75798,                0.68492,              2.223e-05,              2.223e-05,              2.223e-05
                    114,                 1.4292,                 0.9662,                0.95987,                0.98757,                0.75753,                0.69015,             2.1536e-05,             2.1536e-05,             2.1536e-05
                    115,                 1.4263,                0.96503,                0.96125,                0.98814,                0.75899,                0.67943,             2.0841e-05,             2.0841e-05,             2.0841e-05
                    116,                 1.4068,                0.97236,                0.95641,                0.98829,                0.76248,                0.67602,             2.0147e-05,             2.0147e-05,             2.0147e-05
                    117,                 1.4265,                0.96026,                0.96696,                0.98781,                0.75837,                0.68339,             1.9452e-05,             1.9452e-05,             1.9452e-05
                    118,                  1.409,                0.96285,                0.96876,                0.98802,                0.75975,                0.67899,             1.8758e-05,             1.8758e-05,             1.8758e-05
                    119,                 1.4342,                 0.9586,                0.97031,                0.98808,                0.76043,                0.68143,             1.8064e-05,             1.8064e-05,             1.8064e-05
                    120,                 1.4389,                0.97186,                0.95454,                0.98741,                0.75645,                0.68998,             1.7369e-05,             1.7369e-05,             1.7369e-05
                    121,                 1.4026,                0.96949,                0.95929,                0.98762,                0.75999,                0.67371,             1.6675e-05,             1.6675e-05,             1.6675e-05
                    122,                 1.4073,                 0.9652,                0.96854,                 0.9887,                0.76202,                0.67409,             1.5981e-05,             1.5981e-05,             1.5981e-05
                    123,                 1.4269,                0.96297,                0.96621,                 0.9866,                0.75939,                0.67838,             1.5286e-05,             1.5286e-05,             1.5286e-05
                    124,                 1.4122,                0.95898,                0.96758,                0.98705,                0.75958,                0.67946,             1.4592e-05,             1.4592e-05,             1.4592e-05
                    125,                 1.4072,                0.96783,                0.95919,                0.98844,                0.76282,                0.67048,             1.3897e-05,             1.3897e-05,             1.3897e-05
                    126,                 1.4387,                0.96419,                0.96407,                0.98725,                0.75948,                0.67628,             1.3203e-05,             1.3203e-05,             1.3203e-05
                    127,                 1.3995,                0.96218,                0.96753,                0.98833,                 0.7626,                0.67154,             1.2509e-05,             1.2509e-05,             1.2509e-05
                    128,                 1.4058,                0.96173,                0.96661,                0.98806,                0.76004,                0.67301,             1.1814e-05,             1.1814e-05,             1.1814e-05
                    129,                  1.384,                0.96259,                0.96975,                0.98855,                0.76267,                0.67072,              1.112e-05,              1.112e-05,              1.112e-05
                    130,                 1.3825,                0.96272,                0.96803,                0.98807,                0.76178,                0.67041,             1.0426e-05,             1.0426e-05,             1.0426e-05
                    131,                 1.4118,                 0.9619,                0.96527,                0.98691,                 0.7591,                0.67821,             9.7312e-06,             9.7312e-06,             9.7312e-06
                    132,                 1.3964,                0.96545,                0.96658,                0.98761,                0.76054,                0.67259,             9.0369e-06,             9.0369e-06,             9.0369e-06
                    133,                 1.4132,                0.96276,                0.96371,                0.98719,                0.75779,                0.67804,             8.3425e-06,             8.3425e-06,             8.3425e-06
                    134,                 1.3932,                0.96797,                0.96149,                0.98773,                0.76126,                0.67101,             7.6481e-06,             7.6481e-06,             7.6481e-06
                    135,                 1.4049,                0.96259,                 0.9637,                0.98749,                0.75905,                0.67547,             6.9537e-06,             6.9537e-06,             6.9537e-06
                    136,                   1.39,                0.97061,                0.96061,                0.98834,                0.76084,                0.67322,             6.2594e-06,             6.2594e-06,             6.2594e-06
                    137,                 1.3874,                0.96118,                 0.9686,                0.98816,                0.75927,                0.67089,              5.565e-06,              5.565e-06,              5.565e-06
                    138,                 1.4175,                0.96042,                0.96817,                 0.9873,                0.75778,                0.67912,             4.8706e-06,             4.8706e-06,             4.8706e-06
                    139,                 1.3969,                0.96369,                0.96238,                0.98755,                0.75997,                0.67619,             4.1762e-06,             4.1762e-06,             4.1762e-06
                    140,                 1.4254,                0.96339,                0.97093,                0.98812,                0.76086,                 0.6733,             3.4819e-06,             3.4819e-06,             3.4819e-06
                    141,                 1.4092,                0.96551,                0.96745,                0.98814,                0.76076,                 0.6736,             2.7875e-06,             2.7875e-06,             2.7875e-06
                    142,                 1.4131,                0.96178,                0.97033,                0.98848,                0.76173,                0.66926,             2.0931e-06,             2.0931e-06,             2.0931e-06
                    143,                 1.4076,                0.96454,                0.96622,                0.98778,                0.75884,                0.67275,             1.3987e-06,             1.3987e-06,             1.3987e-06
                    144,                 1.3908,                0.95907,                0.96927,                0.98711,                0.75818,                0.67405,             7.0437e-07,             7.0437e-07,             7.0437e-07
