                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    105,                 1.1803,                0.72448,                  1.753,                0.95832,                0.91584,                0.96608,                0.67779,                  1.148,                0.53769,                 1.7245,               0.006568,               0.006568,               0.006568
                    106,                 1.1827,                 0.7241,                 1.7537,                0.96621,                0.90949,                0.96844,                0.68801,                 1.1022,                0.52319,                 1.6843,               0.006535,               0.006535,               0.006535
                    107,                 1.1764,                0.72114,                 1.7485,                0.94273,                0.92125,                0.96577,                0.68976,                 1.1161,                0.52705,                 1.7015,               0.006502,               0.006502,               0.006502
                    108,                 1.1761,                0.71981,                 1.7525,                0.95541,                0.91708,                0.96493,                0.68643,                 1.1213,                0.51949,                 1.6965,               0.006469,               0.006469,               0.006469
                    109,                 1.1782,                0.72073,                 1.7472,                0.94706,                0.91653,                 0.9651,                0.68025,                 1.1363,                0.53138,                 1.7026,               0.006436,               0.006436,               0.006436
                    110,                 1.1693,                0.71371,                 1.7354,                0.95231,                0.92584,                 0.9665,                0.69125,                 1.1034,                0.52189,                  1.677,               0.006403,               0.006403,               0.006403
                    111,                 1.1697,                0.71514,                 1.7377,                0.96048,                0.91107,                0.96778,                 0.6847,                 1.1362,                0.52613,                 1.7132,                0.00637,                0.00637,                0.00637
                    112,                 1.1661,                0.71379,                 1.7364,                0.94691,                0.92042,                0.96877,                0.69261,                 1.0976,                0.51486,                 1.6733,               0.006337,               0.006337,               0.006337
                    113,                  1.164,                 0.7094,                 1.7327,                0.96199,                0.91053,                0.96631,                 0.6915,                 1.1058,                0.52374,                 1.6858,               0.006304,               0.006304,               0.006304
                    114,                 1.1588,                0.69999,                  1.727,                0.96232,                0.91369,                0.96731,                0.68643,                 1.1312,                0.52306,                 1.7061,               0.006271,               0.006271,               0.006271
                    115,                 1.1618,                0.70653,                 1.7266,                0.96084,                0.92461,                0.96945,                 0.6997,                 1.0772,                0.51195,                 1.6514,               0.006238,               0.006238,               0.006238
                    116,                 1.1557,                0.70114,                 1.7228,                0.95551,                0.91423,                0.96321,                0.68234,                 1.1362,                0.51814,                 1.6969,               0.006205,               0.006205,               0.006205
                    117,                 1.1555,                0.70346,                  1.725,                0.96365,                0.91058,                0.96978,                0.69192,                 1.1044,                0.50752,                 1.6791,               0.006172,               0.006172,               0.006172
                    118,                 1.1598,                0.70244,                 1.7286,                0.96089,                0.92051,                0.96993,                0.69279,                 1.1097,                0.50963,                 1.6845,               0.006139,               0.006139,               0.006139
